Date,Name,Year,Letterboxd URI,Rating
2019-11-26,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve,2
2019-11-30,A Beautiful Day in the Neighborhood,2019,https://boxd.it/i7vA,3.5
2019-11-30,The Irishman,2019,https://boxd.it/dYOq,4
2019-11-30,Knives Out,2019,https://boxd.it/jWEA,5
2019-12-06,The Report,2019,https://boxd.it/j2X2,2.5
2019-12-10,American Made,2017,https://boxd.it/bb66,3.5
2019-12-10,Call Me by Your Name,2017,https://boxd.it/dYmm,3
2019-12-10,Vice,2018,https://boxd.it/fcFY,2.5
2019-12-10,Bohemian Rhapsody,2018,https://boxd.it/f1TK,2.5
2019-12-12,Dark Waters,2019,https://boxd.it/kaYu,4
2019-12-14,Casino Royale,2006,https://boxd.it/1alk,3.5
2019-12-15,Quantum of Solace,2008,https://boxd.it/1Vs8,2.5
2019-12-16,Skyfall,2012,https://boxd.it/17Fc,4
2019-12-17,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,3
2019-12-21,Resolution,2012,https://boxd.it/41hY,3
2019-12-24,The Santa Clause 2,2002,https://boxd.it/1ZmI,2
2019-12-25,Holiday Inn,1942,https://boxd.it/1Q4K,2
2019-12-27,Star Wars,1977,https://boxd.it/72s,4.5
2019-12-28,The Empire Strikes Back,1980,https://boxd.it/27Vw,5
2019-12-29,Return of the Jedi,1983,https://boxd.it/27Vm,4.5
2020-01-01,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,5
2020-01-01,Mad Max: Fury Road,2015,https://boxd.it/2DjO,4.5
2020-01-02,Snowpiercer,2013,https://boxd.it/3Icg,3
2020-01-03,The Hangover,2009,https://boxd.it/1GjK,2
2020-01-04,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,3
2020-01-04,Ready or Not,2019,https://boxd.it/kOf0,3.5
2020-01-07,Jumanji: The Next Level,2019,https://boxd.it/ixu4,2.5
2020-01-08,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,1.5
2020-01-09,Jurassic Park,1993,https://boxd.it/2aA2,4.5
2020-01-10,Little Women,2019,https://boxd.it/aSVk,4.5
2020-01-11,Ingrid Goes West,2017,https://boxd.it/evUQ,3.5
2020-01-11,Sully,2016,https://boxd.it/cD8Q,3.5
2020-01-11,It Comes at Night,2017,https://boxd.it/eLuk,3.5
2020-01-11,"Roman J. Israel, Esq.",2017,https://boxd.it/ezRc,3
2020-01-11,Kingsman: The Golden Circle,2017,https://boxd.it/buJm,3
2020-01-15,1917,2019,https://boxd.it/jj4y,4
2020-01-16,Brick,2005,https://boxd.it/1Z6A,3.5
2020-01-16,The Brothers Bloom,2008,https://boxd.it/1Bqm,3.5
2020-01-16,Booksmart,2019,https://boxd.it/igNS,3.5
2020-01-18,Jojo Rabbit,2019,https://boxd.it/iEBG,4.5
2020-01-19,"Good Morning, Vietnam",1987,https://boxd.it/29Aq,2.5
2020-01-23,The King of Comedy,1982,https://boxd.it/2aJS,4
2020-01-24,The Farewell,2019,https://boxd.it/kIky,4
2020-01-25,Marriage Story,2019,https://boxd.it/hJAw,4
2020-01-30,Parasite,2019,https://boxd.it/hTha,5
2020-02-05,Ford v Ferrari,2019,https://boxd.it/ce74,4.5
2020-02-10,Bombshell,2019,https://boxd.it/j5YC,2.5
2020-02-13,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,3.5
2020-03-17,The Invisible Man,2020,https://boxd.it/kWlA,3.5
2020-03-28,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,3.5
2020-06-09,Heathers,1989,https://boxd.it/26x4,2.5
2020-06-25,Sherlock Holmes: A Game of Shadows,2011,https://boxd.it/k3S,2
2020-07-02,Starship Troopers,1997,https://boxd.it/2a7k,2.5
2020-07-06,The Prestige,2006,https://boxd.it/293w,4
2020-07-07,Clue,1985,https://boxd.it/1MDQ,3
2020-07-07,Infernal Affairs,2002,https://boxd.it/1Vqw,2.5
2020-07-13,The Iron Giant,1999,https://boxd.it/1Wow,4
2020-07-20,Onward,2020,https://boxd.it/io92,3
2020-07-21,Following,1998,https://boxd.it/1Tj4,3
2020-07-21,The Silence of the Lambs,1991,https://boxd.it/2aHW,3.5
2020-07-24,Insomnia,2002,https://boxd.it/2aB0,4
2020-07-25,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,2
2020-07-27,Spotlight,2015,https://boxd.it/a84k,4
2020-07-28,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,4
2020-07-29,Event Horizon,1997,https://boxd.it/20d8,2
2020-07-30,Se7en,1995,https://boxd.it/29zs,4.5
2020-07-30,Palm Springs,2020,https://boxd.it/lCXQ,3.5
2020-07-31,The Lego Batman Movie,2017,https://boxd.it/azp0,3.5
2020-08-01,Paddington 2,2017,https://boxd.it/bCF8,4
2020-08-03,Rear Window,1954,https://boxd.it/2a6Q,4.5
2020-08-28,Watchmen,2009,https://boxd.it/1QE4,3.5
2020-09-05,Tenet,2020,https://boxd.it/leq4,3.5
2020-10-08,Steve Jobs,2015,https://boxd.it/araG,3.5
2020-10-10,Blade Runner,1982,https://boxd.it/2bcA,3.5
2020-10-16,Hot Rod,2007,https://boxd.it/1X9C,2.5
2020-10-20,2001: A Space Odyssey,1968,https://boxd.it/2bf0,3.5
2020-10-21,Aliens,1986,https://boxd.it/29PA,3.5
2020-11-08,The Fate of the Furious,2017,https://boxd.it/bbCw,3
2020-12-21,Citizen Kane,1941,https://boxd.it/71O,4
2020-12-24,The Trial of the Chicago 7,2020,https://boxd.it/kn3w,3.5
2020-12-25,Home Alone,1990,https://boxd.it/29Fg,3.5
2020-12-26,Soul,2020,https://boxd.it/ioLA,4
2020-12-27,Wonder Woman 1984,2020,https://boxd.it/gBtA,2
2020-12-31,Mank,2020,https://boxd.it/mIuC,3
2021-01-01,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG,4
2021-02-12,One Night in Miami...,2020,https://boxd.it/oCUo,4
2021-02-23,Nomadland,2020,https://boxd.it/lnRy,4.5
2021-02-24,Sound of Metal,2019,https://boxd.it/i7Q4,4
2021-02-26,Judas and the Black Messiah,2021,https://boxd.it/lsew,4.5
2021-02-28,Minari,2020,https://boxd.it/mL9M,4.5
2021-03-01,The Midnight Sky,2020,https://boxd.it/mK6C,2
2021-03-01,Ma Rainey's Black Bottom,2020,https://boxd.it/mLcm,3.5
2021-03-05,News of the World,2020,https://boxd.it/lm7a,3
2021-03-06,Promising Young Woman,2020,https://boxd.it/loRE,4.5
2021-03-06,First Cow,2019,https://boxd.it/krga,3.5
2021-03-08,The Mauritanian,2021,https://boxd.it/nWiM,4
2021-03-13,The Birds,1963,https://boxd.it/2a6m,3
2021-03-17,Another Round,2020,https://boxd.it/lkba,3.5
2021-03-21,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,3.5
2021-03-26,The Village,2004,https://boxd.it/21iS,1.5
2021-03-26,Lady in the Water,2006,https://boxd.it/1Y1E,2
2021-03-27,Titanic,1997,https://boxd.it/2a2k,4
2021-03-28,Hush,2016,https://boxd.it/d5ys,3.5
2021-03-28,Space Sweepers,2021,https://boxd.it/lnnI,3.5
2021-04-05,The Father,2020,https://boxd.it/m8Ie,4.5
2021-04-05,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,4
2021-04-06,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,3.5
2021-04-17,Hillbilly Elegy,2020,https://boxd.it/lQmY,2
2021-04-23,Pieces of a Woman,2020,https://boxd.it/nOrQ,2.5
2021-04-25,The United States vs. Billie Holiday,2021,https://boxd.it/kKmQ,2
2021-04-30,Weekend,1967,https://boxd.it/20Ac,3.5
2021-05-12,Nobody,2021,https://boxd.it/mLqS,3.5
2021-05-15,Mortal Kombat,2021,https://boxd.it/gswA,2
2021-05-18,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,3.5
2021-05-19,Wrath of Man,2021,https://boxd.it/nEia,3
2021-05-21,Army of the Dead,2021,https://boxd.it/ic7S,3.5
2021-05-26,Profile,2017,https://boxd.it/hNjE,1
2021-05-28,A Quiet Place,2018,https://boxd.it/fVJQ,4
2021-05-28,A Quiet Place Part II,2020,https://boxd.it/iTx0,3.5
2021-06-19,In the Heights,2021,https://boxd.it/gLhu,4.5
2021-06-27,Cruella,2021,https://boxd.it/bbKg,3.5
2021-06-28,Fast & Furious Presents: Hobbs & Shaw,2019,https://boxd.it/dnDA,3
2021-06-30,F9,2021,https://boxd.it/dqsU,3
2021-07-03,Luca,2021,https://boxd.it/ipjC,4
2021-07-04,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm,3.5
2021-07-05,Raya and the Last Dragon,2021,https://boxd.it/jbkI,3
2021-07-10,Black Widow,2021,https://boxd.it/hWV8,3.5
2021-07-10,The Tomorrow War,2021,https://boxd.it/lE78,3
2021-07-11,The Breakfast Club,1985,https://boxd.it/27q4,4
2021-07-12,Memories of Murder,2003,https://boxd.it/1TSo,4
2021-07-12,Stowaway,2021,https://boxd.it/ktMM,4
2021-07-23,Old,2021,https://boxd.it/npKI,3
2021-08-09,The Suicide Squad,2021,https://boxd.it/fw6O,4
2021-08-12,Jungle Cruise,2021,https://boxd.it/g4YK,2
2021-08-14,Stillwater,2021,https://boxd.it/mNPq,3.5
2021-08-17,Free Guy,2021,https://boxd.it/k8dm,3.5
2021-08-19,Fighting with My Family,2019,https://boxd.it/fRyO,3
2021-08-20,Jumanji,1995,https://boxd.it/1ZLI,3
2021-09-03,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,4
2021-09-08,Candyman,1992,https://boxd.it/1Ys6,3
2021-09-10,Burnt Offerings,1976,https://boxd.it/1PVI,2.5
2021-09-15,Candyman,2021,https://boxd.it/kHFg,4
2021-09-17,Malignant,2021,https://boxd.it/mViE,2
2021-09-20,Black Mirror: White Christmas,2014,https://boxd.it/B3qu,4
2021-09-21,Black Mirror: Black Museum,2017,https://boxd.it/hRqu,3.5
2021-09-24,The Vanished,2020,https://boxd.it/qU9k,2.5
2021-09-26,The Conjuring,2013,https://boxd.it/4sr2,3.5
2021-10-01,Venom: Let There Be Carnage,2021,https://boxd.it/llco,2.5
2021-10-02,Coraline,2009,https://boxd.it/1NhQ,3.5
2021-10-05,Spectre,2015,https://boxd.it/6bXY,2.5
2021-10-16,The Night House,2020,https://boxd.it/jZze,3.5
2021-10-16,Psycho,1960,https://boxd.it/2ab2,4
2021-10-16,Happy Death Day,2017,https://boxd.it/fDz4,3.5
2021-10-16,What We Do in the Shadows,2014,https://boxd.it/7eQy,3.5
2021-10-22,Dune,2021,https://boxd.it/fA7G,4.5
2021-10-23,No Time to Die,2021,https://boxd.it/cPX2,4
2021-10-30,Last Night in Soho,2021,https://boxd.it/lbJC,3
2021-10-30,The Babadook,2014,https://boxd.it/77xu,3.5
2021-10-30,Happy Death Day 2U,2019,https://boxd.it/ixt6,3
2021-11-05,Eternals,2021,https://boxd.it/j36o,3.5
2021-11-09,Antlers,2021,https://boxd.it/iI50,3
2021-11-19,Ghostbusters,1984,https://boxd.it/g2w,3
2021-12-03,Ghostbusters: Afterlife,2021,https://boxd.it/f4Pw,2.5
2021-12-17,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2021-12-20,The Matrix,1999,https://boxd.it/2a1m,4.5
2021-12-21,Encanto,2021,https://boxd.it/kPRu,3.5
2021-12-23,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,4
2021-12-23,West Side Story,2021,https://boxd.it/iwt0,4
2021-12-30,The Matrix Reloaded,2003,https://boxd.it/2a1c,3
2022-01-05,The Matrix Revolutions,2003,https://boxd.it/2a12,3.5
2022-01-11,Black Mirror: Playtest,2016,https://boxd.it/hRR6,3.5
2022-01-21,The Matrix Resurrections,2021,https://boxd.it/n87k,3.5
2022-02-14,CODA,2021,https://boxd.it/tbf4,4.5
2022-02-20,Licorice Pizza,2021,https://boxd.it/qTKY,3.5
2022-02-28,Don't Look Up,2021,https://boxd.it/o0Hc,3
2022-03-04,The Batman,2022,https://boxd.it/eDGs,4
2022-03-14,Nightmare Alley,2021,https://boxd.it/m0HC,3.5
2022-03-15,Belfast,2021,https://boxd.it/tefG,4
2022-03-15,Hereditary,2018,https://boxd.it/hNVe,4.5
2022-03-21,Black Mirror: Arkangel,2017,https://boxd.it/hQXW,3
2022-03-21,The Conjuring 2,2016,https://boxd.it/7GJg,3.5
2022-03-22,The Conjuring: The Devil Made Me Do It,2021,https://boxd.it/eXZY,3
2022-03-23,Drive My Car,2021,https://boxd.it/sv94,4
2022-03-25,X,2022,https://boxd.it/sxVa,4
2022-03-27,King Richard,2021,https://boxd.it/mJZ2,3.5
2022-03-28,The Power of the Dog,2021,https://boxd.it/m99E,3.5
2022-03-28,The Lost City,2022,https://boxd.it/sg0Q,3
2022-03-29,Jujutsu Kaisen 0,2021,https://boxd.it/uvFS,4
2022-03-29,It Chapter Two,2019,https://boxd.it/h10u,3
2022-03-29,The Great Gatsby,2013,https://boxd.it/JY,3
2022-03-29,The Old Guard,2020,https://boxd.it/jY2e,3.5
2022-03-30,What Happened to Monday,2017,https://boxd.it/ejUu,3
2022-03-30,Sing 2,2021,https://boxd.it/fAnE,3.5
2022-03-30,Kong: Skull Island,2017,https://boxd.it/9ewM,3.5
2022-03-30,The Magnificent Seven,2016,https://boxd.it/aZAy,2.5
2022-03-31,Kick-Ass,2010,https://boxd.it/1zaQ,2
2022-03-31,Now You See Me 2,2016,https://boxd.it/99fw,2.5
2022-03-31,Power Rangers,2017,https://boxd.it/9KKc,1.5
2022-03-31,Murder on the Orient Express,2017,https://boxd.it/dHjA,3
2022-04-01,Morbius,2022,https://boxd.it/j978,2
2022-04-01,The Maze Runner,2014,https://boxd.it/5YPM,3
2022-04-03,Maze Runner: The Scorch Trials,2015,https://boxd.it/9hwA,3
2022-04-03,Maze Runner: The Death Cure,2018,https://boxd.it/bakw,3
2022-04-04,Scooby-Doo on Zombie Island,1998,https://boxd.it/1QIg,3
2022-04-04,The Water Horse,2007,https://boxd.it/uzY,3.5
2022-04-04,Pitch Perfect,2012,https://boxd.it/3OsE,3.5
2022-04-04,Scooby-Doo! and the Cyber Chase,2001,https://boxd.it/1LTy,3
2022-04-04,Scooby-Doo! and the Witch's Ghost,1999,https://boxd.it/1IeM,3
2022-04-05,Sonic the Hedgehog,2020,https://boxd.it/gdK8,3
2022-04-05,Love and Monsters,2020,https://boxd.it/lJ6E,4
2022-04-07,The League of Extraordinary Gentlemen,2003,https://boxd.it/1ZVy,3
2022-04-07,Fear Street: 1994,2021,https://boxd.it/lLBk,2
2022-04-08,Cirque du Freak: The Vampire's Assistant,2009,https://boxd.it/1xHo,2.5
2022-04-08,Mamma Mia!,2008,https://boxd.it/1Tnq,3.5
2022-04-08,Sonic the Hedgehog 2,2022,https://boxd.it/pb8O,3.5
2022-04-11,Ambulance,2022,https://boxd.it/sFxg,4
2022-04-12,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4.5
2022-04-13,RRR,2022,https://boxd.it/ljDs,4.5
